"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"49","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","전세","59.9750","202212","30","20,000","0","3","2022","동수천로 71","202302~202502","신규","-","","","아파트"
"50","인천광역시 부평구 부평동","503-4","0503","0004","힐캐슬","월세","46.6300","202212","30","1,000","90","9","2015","동수천로 3","202301~202401","신규","-","","","아파트"
"51","인천광역시 부평구 부평동","203-25","0203","0025","M타워","전세","69.6600","202212","30","20,000","0","9","2010","주부토로 5-10","202302~202502","신규","-","","","아파트"
"52","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","전세","84.8500","202212","30","33,000","0","1","1998","안남로 272","202302~202502","신규","-","","","아파트"
"53","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","전세","59.8050","202212","30","20,000","0","8","1998","안남로 272","202302~202502","신규","-","","","아파트"
"54","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","전세","59.4100","202212","30","20,400","0","20","2000","부평북로 463","202212~202312","갱신","사용","20,400","0","아파트"
"55","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","전세","59.4100","202212","30","20,400","0","20","2000","부평북로 463","-","-","-","","","아파트"
"56","인천광역시 부평구 삼산동","553","0553","0000","브라운스톤부평","전세","59.9900","202212","30","18,000","0","9","2023","후정로 8","202302~202502","신규","-","","","아파트"
"57","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","전세","84.9800","202212","30","30,000","0","15","2005","수변로 333","202303~202503","신규","-","","","아파트"
"58","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","전세","39.7240","202212","30","20,000","0","4","2022","산곡로 31","202301~202501","신규","-","","","아파트"
