기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20240825,0,11170520,11516.5355,294.2136,158.1906,262.7949,462.1268,510.1664,570.0547,614.5269,501.2045,579.5328,395.1936,317.8687,234.8818,239.4963,429.9469,253.3483,143.1971,212.3991,391.8364,566.8924,624.2349,634.8612,494.9235,492.4832,354.621,345.2909,336.7932,299.934,795.5234
20240825,0,11170530,7544.3357,139.1272,67.1316,124.4095,261.6104,409.3229,419.1813,413.0686,328.1845,321.8246,332.6087,395.4697,397.0447,202.3277,364.9836,131.011,59.6472,108.1821,354.5171,379.2371,350.5334,270.2686,219.6344,244.2048,248.4963,244.5372,221.509,152.5389,383.7243
20240825,0,11170555,20655.9987,306.6763,220.8067,394.7069,597.1282,1132.8553,1011.4985,1095.9597,673.3277,716.0636,723.1291,664.2701,554.2148,349.1394,691.2267,399.2005,216.3807,534.6849,1734.9555,1427.8083,993.2729,1072.8399,751.0113,701.9943,737.5782,693.0094,559.1199,407.1025,1296.038
20240825,0,11170560,17536.1858,604.2197,193.0642,267.1506,370.4909,661.114,1001.375,1108.7008,890.9812,754.4355,598.0434,475.3928,374.1262,263.5858,466.7613,753.2099,223.0439,301.2501,648.4564,1001.3341,1215.9207,1296.3936,911.8779,599.8545,615.8276,518.687,471.8845,271.8643,677.1385
20240825,0,11170570,15905.5586,825.8424,369.2681,316.6649,317.5507,439.7896,575.6465,732.2268,640.0686,745.3033,551.197,671.8438,456.5629,277.5977,734.6602,382.7964,306.3673,456.0087,544.3717,677.414,669.9953,802.911,604.8405,591.0313,596.2481,604.1585,471.0601,445.3124,1098.821
20240825,0,11170580,9022.2245,250.5857,147.9717,157.4478,190.3263,324.8031,396.9751,437.0033,343.3805,393.9683,292.4824,294.8023,261.7282,175.9685,332.8261,268.7916,126.8183,240.1,370.2562,417.3875,465.6176,486.4334,378.5505,342.2,340.4802,387.8734,307.0033,246.0924,644.3513
20240825,0,11170590,9692.4335,410.2395,185.3201,226.7534,223.0345,273.2102,349.7372,402.1598,384.3702,365.176,326.6469,421.2307,307.0468,232.3324,389.201,267.2771,117.7552,201.4745,339.9708,389.5611,470.6749,540.0997,448.2767,289.8262,404.6759,399.1937,351.9779,277.2401,697.9705
20240825,0,11170625,35425.1812,1077.4984,454.6404,778.2678,1988.1996,1571.7813,1977.123,2245.8603,1697.1201,1502.8127,1202.738,1138.8856,827.3372,531.891,1106.519,735.9806,273.9296,599.6395,1205.4561,1927.6807,1951.8569,2350.9816,1491.9081,1479.6584,1259.3705,1116.2122,875.8156,645.1474,1410.8715
20240825,0,11170630,23749.8907,1284.5787,689.9289,755.7966,487.4496,389.2714,435.2398,754.9756,1095.5173,1133.5578,1013.9633,896.2964,640.7852,500.5933,1071.8581,1166.0479,602.3127,650.5357,567.9879,483.6379,612.7763,1048.6425,1168.9225,1307.1269,1028.375,986.5906,757.8979,521.4137,1697.8115
20240825,0,11170640,7387.8129,288.0972,100.7552,165.4298,180.1685,174.2803,282.6773,382.3566,336.7838,265.7817,234.3128,329.4204,235.4452,183.2628,382.0968,213.149,96.8859,107.4929,212.0959,198.9723,233.4755,419.5493,290.8944,279.4898,282.9249,268.7765,287.2194,243.0478,712.9702
