"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"42","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","69.3321","202312","29","10,500","63","5","2022","열우물로 90","202401~202601","신규","-","","","아파트"
"43","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","69.2824","202312","29","16,500","44","16","2022","열우물로 90","202402~202602","-","-","","","아파트"
"44","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.8032","202312","29","14,500","39","31","2022","열우물로 90","202401~202601","신규","-","","","아파트"
"45","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","69.2824","202312","29","16,500","44","33","2022","열우물로 90","202312~202512","신규","-","","","아파트"
"46","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.8032","202312","29","7,000","63","17","2022","열우물로 90","202402~202602","-","-","","","아파트"
"47","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","69.4834","202312","29","10,500","63","27","2022","열우물로 90","202402~202602","신규","-","","","아파트"
"48","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","69.2824","202312","29","16,500","44","16","2022","열우물로 90","202402~202602","갱신","-","16,500","44","아파트"
"49","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.8032","202312","29","14,500","39","31","2022","열우물로 90","202401~202601","갱신","-","14,500","39","아파트"
"50","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","월세","59.8032","202312","29","7,000","63","17","2022","열우물로 90","202402~202602","갱신","-","7,000","63","아파트"
"51","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","전세","59.8200","202312","29","17,000","0","13","1996","부흥로 246","202402~202602","신규","-","","","아파트"
"52","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","월세","59.9750","202312","29","8,000","100","14","2022","동수천로 71","202402~202602","신규","-","","","아파트"
"53","인천광역시 부평구 부평동","519-9","0519","0009","벨라루체","전세","41.1000","202312","29","14,400","0","12","2015","장제로 99","202401~202601","신규","-","","","아파트"
"54","인천광역시 부평구 청천동","259","0259","0000","쌍용","전세","84.8700","202312","29","23,000","0","8","1990","길주로494번길 12","202402~202602","신규","-","","","아파트"
"55","인천광역시 부평구 갈산동","361-3","0361","0003","대동2","월세","58.3200","202312","29","2,000","70","9","1993","주부토로 201","202402~202602","신규","-","","","아파트"
"56","인천광역시 부평구 갈산동","359","0359","0000","주공1단지","월세","41.3000","202312","29","1,000","60","14","1992","굴포로 81","202312~202512","신규","-","","","아파트"
"57","인천광역시 부평구 갈산동","359","0359","0000","주공1단지","전세","41.3000","202312","29","12,500","0","13","1992","굴포로 81","202402~202602","신규","-","","","아파트"
"58","인천광역시 부평구 부개동","477","0477","0000","욱일","월세","51.0100","202312","29","1,000","60","5","1988","장제로 234","-","갱신","사용","1,000","70","아파트"
"59","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","전세","34.2970","202312","29","21,500","0","11","2020","동수천로 117","202401~202512","갱신","사용","27,000","0","아파트"
"60","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","전세","59.8430","202312","29","32,000","0","25","2020","동수천로 117","202403~202603","신규","-","","","아파트"
"61","인천광역시 부평구 삼산동","454-13","0454","0013","삼산타운6단지","월세","84.9600","202312","29","3,000","140","16","2004","체육관로 57","202402~202602","갱신","사용","3,000","150","아파트"
"62","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","월세","84.9800","202312","29","5,000","115","5","2005","수변로 333","202401~202601","신규","-","","","아파트"
"63","인천광역시 부평구 산곡동","294-35","0294","0035","우성1차2차(294-35)","전세","41.0200","202312","28","12,500","0","5","1989","부영로 165","202401~202601","신규","-","","","아파트"
